Vendor,Hostname,Port,Tx Power (dBm),Rx Power (dBm)
Nokia,sr1,1/1/c34/Lane3,1.84,-8.14
Nokia,sr1,1/1/c34/Lane4,2.15,-5.13
Nokia,sr1,1/1/c35/Lane1,2.29,-8.29
Nokia,sr1,1/1/c35/Lane2,2.25,-6.92
Nokia,sr1,1/1/c35/Lane3,1.84,-8.14
Nokia,sr1,1/1/c35/Lane4,2.15,-5.13
Nokia,sr1,1/1/c36/Lane1,2.29,-8.29
Nokia,sr1,1/1/c36/Lane2,2.25,-6.92
Nokia,sr1,1/1/c36/Lane3,1.84,-8.14
Nokia,sr1,1/1/c36/Lane4,2.15,-5.13
